類別,問題（Q）,回答（A）,關鍵詞,注意事項 / 補充說明
氧氣治療與設備,氧氣治療的流量該如何設定？,一般由1 L/min起始，每次增加1 L/min，每20分鐘觀察滴定，目標SpO2>90%、PaO2>60mmHg。,"氧氣流量, 滴定, SpO2>90%, PaO2>60mmHg",睡眠及活動時需再次評估，運動中建議做6分鐘步行測試。
氧氣治療與設備,長期氧療病患需要定期追蹤嗎？,出院後前4週內應由專業人員追蹤，穩定後每3個月一次，6至12個月回門診重新評估是否繼續LTOT。,"追蹤, LTOT, 出院後, 門診評估",氧療需專業指導與知識，避免錯誤醫囑危害病患。
氧氣治療與設備,為什麼COPD患者需要氧氣治療？,當肺部無法運送足夠的氧氣到血液時，COPD患者會出現呼吸困難、疲倦等現象，透過醫囑在家使用氧氣可穩定肺部循環、增加活動耐受力及改善生活品質。,COPD、氧氣治療、呼吸困難、生活品質,需遵照醫囑使用氧氣，不得自行增減流量。
氧氣治療與設備,居家常見的供氧設備有哪些？,常見設備包括：高壓氧氣筒、液態氧、氧氣濃縮機。,高壓氧氣筒、液態氧、氧氣濃縮機、氧療,各設備特性不同，依病人需要選擇，需由專業人員指導使用方式。
氧氣治療與設備,氧氣吸入裝置有哪幾種？適用情況為何？,包括鼻導管（適用於一般狀況）、簡易型面罩（適用於張口呼吸或鼻腔阻塞者）。,鼻導管、面罩、氧氣吸入,鼻導管超過3L/min須搭配潮濕器；面罩流量須大於5L/min。
氧氣治療與設備,長期氧氣治療可能會有什麼副作用？,常見副作用包括：鼻黏膜損傷、二氧化碳過高、氧毒性、低血氧症。,氧毒性、鼻黏膜、低血氧、呼吸抑制,建議COPD患者每分鐘使用1~3公升的氧氣流量。
氧氣治療與設備,在家使用氧氣時要注意哪些安全事項？,遠離火源與可燃物至少3公尺，遠離家電與電器至少1.5公尺，禁止抽菸，正確使用與存放氧氣設備。,火源、電器、氧氣安全、存放位置,避免使用含油物質接觸氧氣裝置，避免氣爆。
呼吸器照護,居家呼吸器使用有哪些基本分類？,居家呼吸器裝置分為兩大類：1. 侵襲性呼吸器（氣切或氣管內管）；2. 非侵襲性呼吸器（雙陽壓呼吸器，以面罩連接）。,"侵襲性呼吸器, 非侵襲性呼吸器, 雙陽壓呼吸器",相關設備尚包含氧氣濃縮機、抽痰機等，應熟悉設備操作與異常處理。
呼吸器照護,呼吸器警報響起時代表什麼意義？,警報意義分為四類：1. 功能故障（立即威脅生命）；2. 功能不良（需儘快處理）；3. 病人問題影響使用；4. 病人問題但不影響使用。,"呼吸器警報, 功能故障, 病人狀況",需熟悉警報顯示與處理方式（參考表6-1與6-2），並與醫療團隊討論。
呼吸器照護,使用非侵襲性呼吸器時有哪些注意事項？,1. 面罩大小與舒適度；2. 使用人工皮預防壓瘡；3. 加濕裝置是否影響機能；4. 確認壓力與氧濃度設定；5. 定期監測SpO2。,"非侵襲性呼吸器, 面罩, 人工皮, 氧氣濃度",勿自行更換面罩或加裝配件，須由呼吸治療師評估。
呼吸器照護,什麼是呼吸器依賴患者的四階段照護模式？,分為四階段：1. 加護病房；2. 亞急性呼吸照護病房；3. 慢性呼吸照護病房；4. 居家呼吸照護。,"呼吸照護, 四階段, 居家照護",第四階段前應確認重大傷病證明資格，影響健保補助與設備租借方式。
呼吸器申請,如何申請居家呼吸器相關服務？,透過健保署查詢特約居家照護所，詢問是否提供呼吸器照護及訪視服務，並安排訪視與設備配置。,"呼吸器申請, 居家照護所, 健保署",可於 https://www.nhi.gov.tw/query/Query3.aspx 查詢地區特約機構。
氧氣設備選擇,可攜帶的氧氣設備有哪些？,可攜帶的設備包括輕量級壓縮瓶、液態氧系統與可攜帶式氧氣濃縮機，各有不同重量與使用時間。,可攜帶氧氣、輕量壓縮瓶、液態氧、氧氣濃縮機,攜帶式氧氣濃縮機為目前唯一允許帶上飛機的設備，須自備足量電池。
旅行與飛航,COPD病人可以搭飛機嗎？需要注意什麼？,可搭飛機，但需進行飛航前評估，包括氧氣需求、是否有禁忌症、座艙壓力與氧需求增加、醫師表格等。,飛航、氧氣需求、高空低氧、血氧飽和度,應事先聯絡航空公司、備妥醫師證明、確認氧氣設備與電池是否足夠。
旅行與飛航,COPD病人如何規劃地面旅行？,需與醫師討論，備妥藥物與處方，準備氧氣設備與緊急聯絡人資訊，並與旅行相關單位溝通。,地面旅行、氧氣處方、藥物準備、旅行規劃,攜帶隨身藥物與氧氣設備，並確認抵達地點有氧氣供應安排。
緊急應變,遇到停電或氧氣設備故障時怎麼辦？,建議備有E型鋼瓶、發電機、可攜帶式氧氣濃縮機與呼吸器備用電池或甦醒球，以備不時之需。,停電、備用氧氣、甦醒球、鋼瓶係數,可依公式計算氧氣鋼瓶可使用時間：壓力x係數 ÷ 流速。例：2200x0.28÷2=5小時。
旅行與飛航,病人是否適合搭乘飛機？,需由醫師依飛航禁忌症與高風險群進行評估，必要時進行低濃度氧測試或6分鐘走路測試,飛航禁忌症、高風險群、低濃度氧測試、6分鐘走路測試,氧飽和度92~95%者建議進一步測試，若<92%需飛航中使用氧氣；若>95%無需氧氣
旅行與飛航,在飛機上如何使用氧氣設備？,可攜式氧氣濃縮機是唯一可自行攜帶的設備，需準備足夠電池；也可向航空公司租借壓縮氧氣,氧氣濃縮機、壓縮氧氣、飛機氧氣流速,電池需供應飛行時間1.5倍，航空公司規定不同需事先確認
旅行與飛航,搭乘巴士或火車有哪些注意事項？,出發前詢問目的地車站相關事宜，告知攜帶氧氣系統，安排第一層座位,巴士、火車、氧氣設備、車站通報,需事前詢問車站與安排座位
旅行與飛航,搭乘郵輪有哪些準備？,出發前4-6週聯絡船公司，提供診斷書與病史摘要，安排郵輪氧氣系統,郵輪、診斷書、氧氣系統,提前規劃並完成申請
旅行與飛航,使用私家車旅行時有何注意事項？,禁止在車上抽菸，窗戶需打開通風，供氧系統需固定妥當，避免氧氣瓶曝曬,私家車、供氧、安全、通風,確保供氧裝置固定與防曬
旅行與飛航,哪些病人不建議搭乘飛機？,"1. 傳染性肺結核
 2. 不穩定的氣胸
 3. 嚴重咳血
 4. 平時氧氣治療流速 >4 公升/分鐘",飛航禁忌、氣胸、肺結核、咳血、氧氣流速,需依臨床醫師評估與禁忌症表對照
旅行與飛航,哪些病人屬於飛航高風險群？,"1. 曾有飛航呼吸不適經驗
 2. 嚴重COPD（FEV1 < 預期30%）
 3. 合併會導致低血氧的共病
 4. 最近6週內曾氣胸
 5. 曾有靜脈血栓史
 6. 曾用過氧氣治療或正壓呼吸支持",飛航風險、高風險族群、COPD、共病、氧氣治療,需於飛航前由醫師進行完整評估
氧氣治療與設備,如何取得居家氧氣治療並申請補助？,經醫師評估有需要者可向輔具資源中心或醫療器材行租借/購買；符合條件者可向鄉鎮區公所申請補助。,居家氧氣治療、輔具資源中心、補助,詳細補助資訊見“申請居家呼吸照護醫療輔具”段落。
社會資源與補助,如何申請侵襲性或非侵襲性呼吸器？,須符合特定條件如連續使用呼吸器達21~30天以上或特定疾病(ALS等)，並由醫療機構準備相關文件送健保局審核。,呼吸器、非侵襲性、侵襲性、補助、健保,IDS醫院與非IDS醫院使用天數要求不同；不符條件者可自費。
社會資源與補助,如何申請居家呼吸照護相關醫療輔具？,需有身心障礙手冊與183天以上居住紀錄，並經醫師或專業人員評估。可至輔具資源中心進行評估。,輔具、醫療輔具、評估、申請,每兩年最多補助四項，需先申請核定再採購。
社會資源與補助,如何申請用電優惠？,居住自宅，領有身心障礙手冊並實際使用輔具者，檢附診斷證明與照片等向公所申請。,用電優惠、維生器材、輔具、補助,非電池式設備需提供證明；適用輔具清單由社會局公告。
社會資源與補助,如何申請殘障證明與勞保/農保殘廢診斷證明？,經治療6個月以上可至公所申請鑑定，攜帶證明後至醫院就診並由衛生局核發；勞保農保另需向投保單位申請失能診斷書。,殘障證明、勞保、農保、失能診斷,勞保農保失能診斷需附肺功能檢查與病歷。
疾病認識與病因,什麼是慢性阻塞性肺疾病（COPD）？,COPD是一種長期慢性且無法恢復的呼吸道阻塞疾病，使氣體無法通暢進出呼吸道，目前尚無根治方法。,COPD、慢性、呼吸道阻塞、無法恢復,包括慢性支氣管炎與肺氣腫
治療目標,治療COPD的主要目標是什麼？,維持現有呼吸功能與生活品質，透過肺復原治療幫助病患自我照顧。,治療目標、生活品質、肺復原,屬於慢性病管理
肺復原運動,做呼吸運動有哪些好處？,可訓練呼吸肌肉、延長呼氣時間、放鬆肌肉、減輕焦慮、增加氣體交換與活動耐受力。,呼吸運動、肺復原、呼氣、耐受力,可降低呼吸困難程度
生活照護與復健,哪些病人適合接受肺復原治療？,包括COPD、氣喘、慢性支氣管炎、咳痰困難者、術後肺擴張不全者。,COPD、氣喘、支氣管炎、復原對象,涵蓋急性與慢性肺病患者
生活照護與復健,肺復原課程的內容包含哪些？,呼吸運動、復原運動、咳痰訓練、吸入治療、氧氣治療衛教等。,肺復原、課程內容、咳痰、吸入治療,通常建議6-8週至少12次
生活照護與復健,肺復原運動前應做哪些準備？,穿著寬鬆衣物、適合步行的鞋子、可使用助行器、避免餐後與劇烈運動後進行。,運動準備、肺復原、衣著、時間點,運動前2小時勿做劇烈活動
生活照護與復健,進行肺復原運動時有哪些注意事項？,正常服藥、由低強度開始、使用氧氣需依醫囑、出現不適立即停止。,運動安全、肺復原、氧氣、不適症狀,頭暈、發黑等為停止訊號
藥物與吸入治療,肺復原治療可在哪些環境進行？,住院、門診與居家皆可進行，需長期指導以取得較大效果。,肺復原、住院、門診、居家訓練,門診課程每週2次，每次90分鐘
生活照護與復健,肺復原中心的服務內容有哪些？,包含肺功能檢查、呼吸運動、復原運動、呼吸道清潔、個案管理及衛教等。,肺復原中心、檢查、呼吸訓練、衛教,屬於整體治療一環
疾病認識與病因,什麼是慢性阻塞性肺部疾病（COPD）？,COPD是一種慢性肺功能退化，無法完全治癒的疾病。特點是呼吸道阻塞、氣體進出困難，常包含慢性支氣管炎與肺氣腫。,"COPD, 慢性支氣管炎, 肺氣腫, 呼吸道阻塞",治療目標為維持呼吸功能、避免病情惡化、提高生活品質。
疾病認識與病因,造成COPD的原因有哪些？,包含抽煙（含二手煙）、空氣污染、感染、過敏、遺傳、肺臟老化與職業暴露（如矽、煤等）。,"抽煙, 空氣污染, 感染, 遺傳, 職業暴露",香煙含有害物質會影響呼吸道纖毛，導致痰液堆積與感染。
症狀與評估,COPD有哪些常見症狀？,包括哮喘、慢性咳嗽、咳痰、呼吸困難、咳血、疲倦、意識不清、發燒及腳水腫等。,"咳嗽, 咳痰, 呼吸困難, 哮喘, 缺氧",缺氧症狀如頭痛、失眠、發紺等也需留意。
症狀與評估,COPD可能引發哪些併發症？,包括呼吸衰竭、慢性肺心症、營養不良、氣胸、肺炎與睡眠呼吸中止症。,"併發症, 肺心症, 氣胸, 營養不良, 呼吸衰竭",須密切追蹤肺功能與感染徵兆。
藥物與吸入治療,COPD有哪些治療方式？,包括戒煙、藥物（支氣管擴張劑、袪痰劑、類固醇、抗生素）、氧氣治療及呼吸運動訓練。,"支氣管擴張劑, 類固醇, 氧氣治療, 呼吸訓練",藥物需遵醫囑使用，避免自行增減。
呼吸訓練,COPD患者可做哪些呼吸運動？,包含噘嘴呼吸、腹式呼吸、上肢與下肢運動，以增強肺部排氣功能與活動耐力。,"噘嘴呼吸, 腹式呼吸, 呼吸運動, 肺復健",應循序漸進並監測是否出現不適，如氣喘、頭暈等。
生活照護與復健,COPD病人在居家生活上應注意什麼？,避免感染、規劃作息與活動、穿著寬鬆衣物、簡化烹飪、必要時使用氧氣並確保安全。,"感染預防, 作息規劃, 居家照護, 氧氣使用",避免吸菸、避免與感冒者接觸、避免穿綁鞋。
飲食與營養,COPD患者的飲食有什麼建議？,採少量多餐，低醣高脂、高纖飲食，避免產氣食物，多補充水分與蔬果，避免便秘。,"低醣高脂, 高纖, 少量多餐, 飲食建議",避免鹽分攝取過多、注意呼吸困難時的進食節奏。
生活照護與復健,如何協助COPD患者清除痰液？,可使用深呼吸、有效咳嗽、拍痰與姿位引流法輔助排痰，並補充水分促進痰液流動。,"拍痰, 姿位引流, 有效咳嗽, 痰液清除",若出現呼吸困難或嘴唇發黑，應停止引流並就醫。
生活照護與復健,慢性阻塞性肺病照護有何重點？,病情嚴重時需注意氧氣與呼吸器治療、日常照護與感染預防，以及善用社福資源。,照護重點、氧氣治療、呼吸器、感染預防,避免急診往返與生命危險，提升生活品質。
氧氣治療與設備,使用氧氣治療會成癮嗎？,不會，正確使用可改善肺高壓、症狀與預後。,氧氣治療、血氧飽和度、氧氣成癮迷思,維持血氧 >90%；應備有不斷電系統與備用鋼瓶。
呼吸器照護,家屬需具備哪些呼吸器照護知識？,應熟悉呼吸器操作、警示系統、抽痰與急救技術，並備妥緊急聯絡方式與備援設備。,呼吸器、操作技能、抽痰、急救,需接受醫師與呼吸治療師指導，預備甦醒球等急救設備。
疫苗與預防,慢性阻塞性肺病病人是否建議施打疫苗？,是。建議接種肺炎與流感疫苗，以預防感染惡化病情。,疫苗、肺炎、流感、感染預防,避免接觸感染源，特別是流感季與公共場合。
社會資源與補助,可申請哪些呼吸照護資源與福利？,全民健保提供居家呼吸照護與相關輔具補助，並可透過手冊瞭解流程與條件。,社會資源、健保、輔具補助,申請包含到宅評估與福利措施，須符合條件。
旅行與飛航,病人可參與外出旅遊嗎？,可，但需先諮詢醫師並準備氧氣與相關設備，確保旅程安全。,旅遊、飛行、氧氣準備,應事先規劃、諮詢與攜帶必要輔具。
疾病認識與病因,慢性阻塞性肺病能治癒嗎？,目前無法完全治癒，但可藉藥物、疫苗、訓練與儀器設備有效控制症狀與改善生活品質。,疾病本質、治療方式、儀器設備,病人與照護者應基本認識疾病與使用設備。
